word	level	pinyin	gloss
姓	HSK2	xìng	family name; surname; to be surnamed ...
姓名	HSK2	xìng míng	surname and given name; full name
洗手间	HSK2	xǐ shǒu jiān	toilet; lavatory
希望	HSK2	xī wàng	to hope; a hope; a wish
眼睛	HSK2	yǎn jing	eye; CL:隻|只[zhi1],雙|双[shuang1]
颜色	HSK2	yán sè	color; countenance
药	HSK2	yào	medicine; drug
药店	HSK2	yào diàn	pharmacy; drugstore
爷爷	HSK2	yé ye	(coll.) paternal grandfather; grandpa
一会儿	HSK2	yī huì r	a moment; a while
已经	HSK2	yǐ jīng	already
阴	HSK2	yīn	overcast (weather); cloudy
因为	HSK2	yīn wèi	because; owing to; on account of
一起	HSK2	yī qǐ	(in) the same place; together; in company (with)
意思	HSK2	yì si	idea; opinion
游	HSK2	yóu	to walk; to tour
右	HSK2	yòu	(bound form) right; right-hand side; (bound form) (politics) right of center
有意思	HSK2	yǒu yì si	interesting; meaningful
右边	HSK2	yòu bian	right side; right, to the right
有时（候）	HSK2	yǒu shí （ hòu ）	
游泳	HSK2	yóu yǒng	swimming; to swim
鱼	HSK2	yú	fish (CL:條|条[tiao2],尾[wei3]); used in the names of various aquatic animals that are not fish (including aba...
远	HSK2	yuǎn	far; distant
运动	HSK2	yùn dòng	to move; to exercise
站	HSK2	zhàn	station; to stand
丈夫	HSK2	zhàng fu	husband
着	HSK2	zháo	to touch; to come in contact with
这么	HSK2	zhè me	so much; this much
正	HSK2	zhèng	straight; upright
这样	HSK2	zhè yàng	this way; like this; so; (before a noun) this kind of; such
周	HSK2	zhōu	to make a circuit; to circle
准备	HSK2	zhǔn bèi	preparation; to prepare
自己	HSK2	zì jǐ	oneself; (attributive) one's own
走	HSK2	zǒu	to walk; to go
走路	HSK2	zǒu lù	to walk; to go on foot; to leave; to depart
最	HSK2	zuì	(before an adjective or verb) to the highest degree; (the) most ...; -est; (after 之[zhi1]) best or most ext...
左	HSK2	zuǒ	left; the Left (politics)
左边	HSK2	zuǒ bian	left; the left side
足球	HSK2	zú qiú	soccer; football; a soccer ball; a football
矮	HSK3	ǎi	(of a person) short; (of a wall etc) low
爱人	HSK3	ài ren	spouse (PRC); lover (non-PRC)
安静	HSK3	ān jìng	quiet; peaceful
安全	HSK3	ān quán	safe; secure; safety; security
阿姨	HSK3	ā yí	maternal aunt; step-mother
把	HSK3	bǎ	to hold; to grasp; to hold a baby in position to help it urinate or defecate
办	HSK3	bàn	to take care of (a matter); to deal with (a task, procedure etc); to organize (an event); to establish; to...
搬	HSK3	bān	to move (i.e. relocate oneself); to move (sth relatively heavy or bulky)
办法	HSK3	bàn fǎ	way of handling sth; means; measure; (practical) solution to a problem; CL:條|条[tiao2]
办公室	HSK3	bàn gōng shì	office; business premises
帮助	HSK3	bāng zhù	assistance; aid; to help; to assist
